Listing ID,Host ID,Number of Listings Per Host,City,Latitude,Longitude,Listing Type,Price,Minimum Nights,Availability,Number of Reviews
182177,873273,2,New York City,40.86466,-73.85709,Entire home/apt,125,28,363,303
182649,876054,1,New York City,40.71312,-73.96199,Private room,70,2,87,260
188661,909146,1,New York City,40.68262,-73.97299,Entire home/apt,174,3,190,67
189135,179020,1,New York City,40.76311,-73.99388,Private room,99,1,365,101
189732,489400,1,New York City,40.67497,-73.87305,Entire home/apt,172,3,354,207
190542,920542,1,New York City,40.68967,-73.95445,Entire home/apt,190,3,191,47
190968,922922,1,New York City,40.67946,-73.96501,Entire home/apt,215,3,177,37
191541,926539,1,New York City,40.7609,-73.98692,Entire home/apt,450,5,365,55
193105,936114,2,New York City,40.7709,-73.99181,Private room,155,28,180,47
195123,940724,1,New York City,40.83403,-73.94553,Private room,75,1,365,232
195240,949221,2,New York City,40.65557,-73.9561,Private room,65,1,3,81
197753,964482,2,New York City,40.83127,-73.94718,Private room,68,2,332,320
197942,289135,1,New York City,40.68497,-73.95592,Entire home/apt,116,7,344,227
198028,965976,1,New York City,40.77619,-73.91253,Shared room,50,1,362,16
200955,568325,1,New York City,40.73089,-73.98195,Entire home/apt,125,30,251,26
201992,988350,1,New York City,40.6755,-73.97859,Entire home/apt,190,4,219,106
204065,51038,5,New York City,40.68634,-73.96161,Entire home/apt,448,2,352,66
204833,903686,1,New York City,40.7093,-73.9497,Private room,85,2,250,9
205043,1007558,1,New York City,40.75895,-73.9883,Private room,99,1,168,373
205485,1010242,1,New York City,40.68186,-73.94113,Entire home/apt,145,3,250,135
205735,1011426,1,New York City,40.68364,-73.91076,Private room,65,2,21,66
205867,1012691,1,New York City,40.71893,-73.9428,Entire home/apt,120,4,289,100
206772,1017473,1,New York City,40.71413,-73.96596,Entire home/apt,180,10,292,39
206957,1018472,2,New York City,40.58422,-73.94079,Entire home/apt,95,7,87,129
209310,1031148,1,New York City,40.73826,-73.92458,Private room,50,1,113,281
